NOMBRE,NOM_MUN,ENTIDAD,Total UP agropecuaria activas,UP Agricolas,UP Argri Riego ( R ),P UP Riego,UP Riego Gravedad (RG),UP RG Canales revestidos,UP RG Canales de Tierra,UP RG Tuber�a De Compuerta,UP R Por Microaspersi�n,UP R Por Aspersi�n,UP R Por Aspersi�n Pivote Central,UP R Por Aspersi�n Avance Frontal,UP R Por Aspersi�n Ca��n,UP R Por Aspersores,UP R Sistema De Goteo,UP R Mediante Alg�n Otro Sistema
01 AGS,, Aguascalientes,19648,18459,7394,65.47200433,58.9754183,14.60595447,27.56567426,70.96322242,8.489981409,16.21565792,11.21019108,2.165605096,10.57324841,82.80254777,36.23218343,1.77649246
01 AGS,Aguascalientes,  Aguascalientes,3098,2794,629,56.75675676,59.94397759,8.411214953,22.42990654,78.03738318,10.36414566,37.81512605,28.14814815,4.444444444,18.51851852,62.22222222,14.56582633,0.280112045
01 AGS,Asientos,  Asientos,3302,3238,1033,75.2178122,45.17374517,3.418803419,21.36752137,79.48717949,5.276705277,8.365508366,9.230769231,1.538461538,9.230769231,89.23076923,63.83526384,0.128700129
01 AGS,Calvillo,  Calvillo,2659,2379,1524,57.61154856,43.7357631,3.125,56.51041667,48.17708333,27.90432802,35.87699317,1.26984127,0.317460317,10.15873016,91.42857143,11.61731207,4.669703872
01 AGS,Cosío,  Cosío,1049,1021,663,66.5158371,83.21995465,28.33787466,18.80108992,70.29972752,0.907029478,3.174603175,14.28571429,0,7.142857143,78.57142857,32.42630385,0.680272109
01 AGS,Jesús María,  Jesús María,1451,1310,589,60.61120543,75.6302521,8.148148148,37.03703704,62.96296296,2.801120448,14.00560224,10,0,16,76,10.6442577,7.56302521
01 AGS,Pabellón de Arteaga,  Pabellón De Arteaga,989,926,582,68.38487973,42.46231156,5.917159763,17.15976331,81.06508876,5.27638191,16.33165829,20,1.538461538,3.076923077,86.15384615,65.57788945,0.502512563
01 AGS,Rincón de Romos,  Rincón De Romos,1709,1667,932,64.91416309,53.71900826,3.692307692,36.61538462,73.23076923,3.801652893,5.123966942,16.12903226,9.677419355,0,83.87096774,63.14049587,0.661157025
01 AGS,San José de Gracia,  San José De Gracia,1060,927,264,73.86363636,95.8974359,74.86631016,24.59893048,49.19786096,3.58974359,5.641025641,0,0,54.54545455,54.54545455,4.102564103,0
01 AGS,Tepezalá,  Tepezalá,1586,1541,704,69.31818182,69.87704918,24.34017595,20.52785924,78.29912023,2.663934426,8.81147541,0,6.976744186,0,95.34883721,41.39344262,1.024590164
01 AGS,El Llano,  El Llano,2199,2143,317,74.76340694,90.29535865,1.869158879,5.607476636,94.39252336,1.265822785,5.063291139,58.33333333,8.333333333,25,25,9.282700422,0.421940928
01 AGS,San Francisco de los Romo,  San Francisco De Los Romo,546,513,157,68.78980892,30.55555556,0,6.060606061,93.93939394,6.481481481,40.74074074,18.18181818,2.272727273,0,88.63636364,44.44444444,0.925925926
02 BCN,, Baja California,7777,6666,6303,48.45311756,60.77275704,47.30603448,79.1487069,37.39224138,1.964636542,4.55140799,5.755395683,2.877697842,14.38848921,79.13669065,39.78388998,0.55664702
02 BCN,Ensenada,  Ensenada,1483,1239,1046,70.07648184,6.139154161,4.444444444,46.66666667,48.88888889,2.182810368,6.684856753,4.081632653,2.040816327,2.040816327,93.87755102,91.81446112,0.68212824
02 BCN,Mexicali,  Mexicali,4964,4630,4630,39.11447084,98.01214798,49.18309859,80.28169014,37.23943662,0.496963004,2.319160685,4.761904762,0,38.0952381,59.52380952,5.080066262,0.165654335
02 BCN,Tecate,  Tecate,270,138,83,85.54216867,18.30985915,7.692307692,84.61538462,15.38461538,11.26760563,14.08450704,0,10,10,80,73.23943662,1.408450704
02 BCN,Tijuana,  Tijuana,159,69,38,89.47368421,14.70588235,20,80,0,2.941176471,0,0,0,0,0,79.41176471,5.882352941
02 BCN,Playas de Rosarito,  Playas De Rosarito,100,74,53,92.45283019,2.040816327,0,100,0,0,10.20408163,0,20,0,80,95.91836735,2.040816327
02 BCN,San Quintín,  San Quintín,778,513,452,78.53982301,4.788732394,5.882352941,41.17647059,52.94117647,7.323943662,9.295774648,12.12121212,3.03030303,6.060606061,81.81818182,91.26760563,1.126760563
02 BCN,San Felipe,  San Felipe,23,3,1,100,0,0,0,0,0,0,0,0,0,0,0,100
03 BCS,, Baja California Sur,4606,2462,2447,77.64609726,30.36842105,3.986135182,29.80935875,69.32409012,4.157894737,10.89473684,56.03864734,0.483091787,3.8647343,45.89371981,64.84210526,1.263157895
03 BCS,Comondú,  Comondú,1253,814,814,59.58230958,51.75257732,1.593625498,3.187250996,95.61752988,10.92783505,28.65979381,76.25899281,0.71942446,0.71942446,30.21582734,28.65979381,0.412371134
03 BCS,Mulegé,  Mulegé,723,380,380,90.52631579,18.31395349,6.349206349,77.77777778,17.46031746,2.61627907,10.46511628,5.555555556,0,5.555555556,91.66666667,79.36046512,0.581395349
03 BCS,La Paz,  La Paz,1599,718,703,89.61593172,22.22222222,4.285714286,33.57142857,69.28571429,0.952380952,2.857142857,27.77777778,0,16.66666667,61.11111111,78.57142857,1.428571429
03 BCS,Los Cabos,  Los Cabos,934,505,505,81.78217822,24.69733656,3.921568627,65.68627451,35.29411765,2.663438257,3.147699758,23.07692308,0,15.38461538,61.53846154,76.51331719,2.663438257
03 BCS,Loreto,  Loreto,97,45,45,62.22222222,75,23.80952381,4.761904762,76.19047619,0,3.571428571,0,0,0,100,32.14285714,0
04 CAM,, Campeche,53018,44177,1798,77.91991101,41.39900071,3.793103448,80.86206897,18.27586207,13.70449679,13.6331192,22.51308901,3.141361257,31.41361257,53.40314136,34.1184868,8.35117773
